lead_time,S2S,Our model,CNN-LSTM
7,0.72,0.75,0.62
8,0.67,0.72,0.59
9,0.64,0.7,0.59
10,0.63,0.69,0.6
11,0.63,0.69,0.61
12,0.65,0.68,0.61
13,0.64,0.67,0.59
14,0.62,0.67,0.58
15,0.6,0.65,0.56
16,0.59,0.66,0.56
17,0.57,0.65,0.57
18,0.56,0.64,0.58
19,0.55,0.63,0.58
20,0.56,0.63,0.58
21,0.57,0.63,0.58
22,0.59,0.62,0.56
23,0.57,0.63,0.57
24,0.54,0.63,0.57
25,0.52,0.62,0.56
26,0.51,0.61,0.56
27,0.52,0.61,0.56
28,0.51,0.62,0.57
29,0.49,0.6,0.55
30,0.48,0.6,0.54
31,0.45,0.61,0.56
32,0.42,0.61,0.55
33,0.4,0.61,0.55
34,0.43,0.61,0.55
35,0.43,0.61,0.56
36,0.43,0.6,0.57
37,0.47,0.6,0.58
38,0.48,0.61,0.58
39,0.49,0.6,0.57
40,0.5,0.6,0.56
41,0.51,0.6,0.57
42,0.51,0.6,0.57
43,0.52,0.6,0.55
44,0.55,0.6,0.54
45,0.55,0.59,0.54
46,0.53,0.59,0.54
