lead_time,S2S,Our model,CNN-LSTM
7,17.41,16.92,21.06
8,18.88,17.6,21.72
9,19.6,18.4,21.42
10,19.75,18.81,21.38
11,19.8,19.02,21.19
12,19.92,19.55,21.27
13,20.01,20.02,21.62
14,20.74,20.5,21.85
15,21.57,20.97,22.47
16,22.18,21.01,22.57
17,23.07,21.45,22.46
18,23.79,21.49,22.52
19,23.57,21.69,22.68
20,23.86,22.02,22.66
21,23.69,21.98,22.31
22,23.8,22.54,23.12
23,24.05,22.22,22.83
24,24.47,22.01,22.47
25,24.87,22.03,22.65
26,25.03,22.34,22.98
27,24.44,22.09,22.86
28,24.68,21.95,22.82
29,25.58,22.4,23.45
30,25.65,22.28,23.62
31,26.1,22.06,23.09
32,27.22,21.93,23.14
33,27.77,22.15,23.08
34,27.4,22.1,23.14
35,27.1,21.91,22.85
36,26.83,22.47,22.73
37,25.39,22.22,22.1
38,24.97,22.21,22.13
39,24.93,22.2,22.47
40,25.39,22.31,22.84
41,24.97,22.3,22.56
42,25.14,22.24,22.33
43,25.46,22.64,22.98
44,24.7,22.32,22.97
45,24.59,22.33,23.02
46,25.19,22.45,23.39
