lead_time,S2S,Our model,CNN-LSTM
7,0.49,0.52,0.35
8,0.41,0.47,0.31
9,0.37,0.44,0.32
10,0.35,0.43,0.32
11,0.36,0.43,0.34
12,0.38,0.41,0.34
13,0.37,0.4,0.32
14,0.32,0.4,0.29
15,0.28,0.38,0.27
16,0.24,0.39,0.27
17,0.19,0.37,0.29
18,0.18,0.37,0.3
19,0.2,0.36,0.3
20,0.2,0.35,0.29
21,0.21,0.35,0.3
22,0.24,0.34,0.27
23,0.21,0.35,0.27
24,0.16,0.35,0.28
25,0.14,0.35,0.28
26,0.12,0.34,0.28
27,0.15,0.34,0.28
28,0.14,0.35,0.28
29,0.11,0.33,0.25
30,0.09,0.33,0.23
31,0.01,0.33,0.26
32,-0.08,0.33,0.25
33,-0.11,0.33,0.25
34,-0.09,0.33,0.25
35,-0.13,0.34,0.26
36,-0.13,0.32,0.28
37,-0.07,0.32,0.3
38,-0.07,0.33,0.3
39,-0.02,0.33,0.28
40,0.03,0.32,0.26
41,0.08,0.32,0.29
42,0.09,0.32,0.29
43,0.09,0.32,0.27
44,0.16,0.32,0.26
45,0.16,0.31,0.25
46,0.12,0.31,0.24
