lead_time,S2S,Our model,CNN-LSTM
7,29.96,28.84,33.93
8,32.44,30.48,35.31
9,33.28,31.24,34.86
10,33.68,31.09,34.42
11,33.5,31.24,34.12
12,33.05,32.07,34.34
13,33.3,32.3,34.88
14,34.14,32.22,35.3
15,35.46,33.08,36.34
16,36.0,32.54,35.85
17,36.72,32.68,35.32
18,37.4,33.09,35.31
19,37.4,33.72,35.62
20,37.39,33.94,35.65
21,37.02,33.69,35.31
22,36.7,34.45,36.36
23,37.01,33.88,35.96
24,38.02,33.59,35.44
25,38.63,34.01,35.89
26,39.36,34.63,36.35
27,38.63,34.45,36.15
28,38.69,34.13,35.9
29,39.71,35.01,36.83
30,40.06,34.81,37.23
31,41.31,34.25,36.23
32,43.2,34.39,36.62
33,43.96,34.57,36.77
34,43.44,34.63,36.72
35,43.63,34.34,36.23
36,43.92,35.06,36.18
37,42.27,34.76,35.36
38,41.64,34.24,35.14
39,41.17,34.49,35.7
40,40.8,34.93,36.44
41,40.08,34.78,35.86
42,39.92,34.67,35.78
43,40.35,35.11,36.81
44,38.41,34.76,36.82
45,38.08,34.81,36.7
46,39.05,34.99,36.82
