lead_time,S2S|MAE,S2S|R2,S2S|RMSE,S2S|COR,Our model|MAE,Our model|R2,Our model|RMSE,Our model|COR,CNN-LSTM|MAE,CNN-LSTM|R2,CNN-LSTM|RMSE,CNN-LSTM|COR
7,17.41,0.49,29.96,0.72,16.92,0.52,28.84,0.75,21.06,0.35,33.93,0.62
8,18.88,0.41,32.44,0.67,17.6,0.47,30.48,0.72,21.72,0.31,35.31,0.59
9,19.6,0.37,33.28,0.64,18.4,0.44,31.24,0.7,21.42,0.32,34.86,0.59
10,19.75,0.35,33.68,0.63,18.81,0.43,31.09,0.69,21.38,0.32,34.42,0.6
11,19.8,0.36,33.5,0.63,19.02,0.43,31.24,0.69,21.19,0.34,34.12,0.61
12,19.92,0.38,33.05,0.65,19.55,0.41,32.07,0.68,21.27,0.34,34.34,0.61
13,20.01,0.37,33.3,0.64,20.02,0.4,32.3,0.67,21.62,0.32,34.88,0.59
14,20.74,0.32,34.14,0.62,20.5,0.4,32.22,0.67,21.85,0.29,35.3,0.58
15,21.57,0.28,35.46,0.6,20.97,0.38,33.08,0.65,22.47,0.27,36.34,0.56
16,22.18,0.24,36.0,0.59,21.01,0.39,32.54,0.66,22.57,0.27,35.85,0.56
17,23.07,0.19,36.72,0.57,21.45,0.37,32.68,0.65,22.46,0.29,35.32,0.57
18,23.79,0.18,37.4,0.56,21.49,0.37,33.09,0.64,22.52,0.3,35.31,0.58
19,23.57,0.2,37.4,0.55,21.69,0.36,33.72,0.63,22.68,0.3,35.62,0.58
20,23.86,0.2,37.39,0.56,22.02,0.35,33.94,0.63,22.66,0.29,35.65,0.58
21,23.69,0.21,37.02,0.57,21.98,0.35,33.69,0.63,22.31,0.3,35.31,0.58
22,23.8,0.24,36.7,0.59,22.54,0.34,34.45,0.62,23.12,0.27,36.36,0.56
23,24.05,0.21,37.01,0.57,22.22,0.35,33.88,0.63,22.83,0.27,35.96,0.57
24,24.47,0.16,38.02,0.54,22.01,0.35,33.59,0.63,22.47,0.28,35.44,0.57
25,24.87,0.14,38.63,0.52,22.03,0.35,34.01,0.62,22.65,0.28,35.89,0.56
26,25.03,0.12,39.36,0.51,22.34,0.34,34.63,0.61,22.98,0.28,36.35,0.56
27,24.44,0.15,38.63,0.52,22.09,0.34,34.45,0.61,22.86,0.28,36.15,0.56
28,24.68,0.14,38.69,0.51,21.95,0.35,34.13,0.62,22.82,0.28,35.9,0.57
29,25.58,0.11,39.71,0.49,22.4,0.33,35.01,0.6,23.45,0.25,36.83,0.55
30,25.65,0.09,40.06,0.48,22.28,0.33,34.81,0.6,23.62,0.23,37.23,0.54
31,26.1,0.01,41.31,0.45,22.06,0.33,34.25,0.61,23.09,0.26,36.23,0.56
32,27.22,-0.08,43.2,0.42,21.93,0.33,34.39,0.61,23.14,0.25,36.62,0.55
33,27.77,-0.11,43.96,0.4,22.15,0.33,34.57,0.61,23.08,0.25,36.77,0.55
34,27.4,-0.09,43.44,0.43,22.1,0.33,34.63,0.61,23.14,0.25,36.72,0.55
35,27.1,-0.13,43.63,0.43,21.91,0.34,34.34,0.61,22.85,0.26,36.23,0.56
36,26.83,-0.13,43.92,0.43,22.47,0.32,35.06,0.6,22.73,0.28,36.18,0.57
37,25.39,-0.07,42.27,0.47,22.22,0.32,34.76,0.6,22.1,0.3,35.36,0.58
38,24.97,-0.07,41.64,0.48,22.21,0.33,34.24,0.61,22.13,0.3,35.14,0.58
39,24.93,-0.02,41.17,0.49,22.2,0.33,34.49,0.6,22.47,0.28,35.7,0.57
40,25.39,0.03,40.8,0.5,22.31,0.32,34.93,0.6,22.84,0.26,36.44,0.56
41,24.97,0.08,40.08,0.51,22.3,0.32,34.78,0.6,22.56,0.29,35.86,0.57
42,25.14,0.09,39.92,0.51,22.24,0.32,34.67,0.6,22.33,0.29,35.78,0.57
43,25.46,0.09,40.35,0.52,22.64,0.32,35.11,0.6,22.98,0.27,36.81,0.55
44,24.7,0.16,38.41,0.55,22.32,0.32,34.76,0.6,22.97,0.26,36.82,0.54
45,24.59,0.16,38.08,0.55,22.33,0.31,34.81,0.59,23.02,0.25,36.7,0.54
46,25.19,0.12,39.05,0.53,22.45,0.31,34.99,0.59,23.39,0.24,36.82,0.54
