lead_time,Our model|MAE,Our model|R2,Our model|RMSE,Our model|COR,S2S|MAE,S2S|R2,S2S|RMSE,S2S|COR,CNN-LSTM|MAE,CNN-LSTM|R2,CNN-LSTM|RMSE,CNN-LSTM|COR,U-Net|MAE,U-Net|R2,U-Net|RMSE,U-Net|COR,S2S-only Transformer|MAE,S2S-only Transformer|R2,S2S-only Transformer|RMSE,S2S-only Transformer|COR,Quantile Mapping|MAE,Quantile Mapping|R2,Quantile Mapping|RMSE,Quantile Mapping|COR
7,16.68512799,0.55103652,28.84052063,0.75541104,17.41193101,0.51548829,29.96298735,0.71816803,20.85022146,0.40201629,33.28506418,0.63753107,20.74347945,0.35743461,34.49890967,0.60664184,17.22563956,0.52958380,29.51868759,0.73315713,17.58315251,0.47399448,31.21965668,0.72184019
8,17.51326316,0.51107208,30.42977913,0.72543088,18.88294740,0.44435537,32.44111272,0.66930716,21.19891937,0.37956540,34.27854895,0.61903822,21.52113921,0.31598330,35.98556597,0.57451792,18.01146824,0.48905142,31.10698430,0.70328853,19.36290233,0.37406335,34.43200986,0.66752208
9,18.12207508,0.49028370,30.77176360,0.70938677,19.59546849,0.40391758,33.27829697,0.64229993,20.99702979,0.37930469,33.95567303,0.61913601,21.38604018,0.31223851,35.74036076,0.57205010,18.68298853,0.46082526,31.64747735,0.68211848,20.19984041,0.31293571,35.72782876,0.63859926
10,18.39797770,0.48029793,30.82538405,0.70203012,19.75465679,0.37945533,33.68481558,0.62572983,20.90340860,0.38237591,33.60311006,0.62149361,21.33156909,0.30412342,35.66640292,0.56685024,18.99925287,0.44703025,31.79520414,0.67142177,20.67707410,0.26667428,36.61812550,0.61665618
11,18.80559630,0.46839400,31.36540518,0.69277327,19.80141992,0.39366836,33.49899610,0.63340695,21.07201933,0.38355294,33.77586381,0.62232990,21.92539432,0.29127038,36.21247762,0.55736410,19.38756804,0.44400385,32.07764093,0.66859373,20.51943893,0.29302320,36.17256109,0.62398247
12,19.59504701,0.44508272,32.25221796,0.67531976,19.92334109,0.41720671,33.05340791,0.65163570,21.32545073,0.36660625,34.45659000,0.60883778,22.22930080,0.30142380,36.18515038,0.56237966,20.00403387,0.42294708,32.88930962,0.65270021,20.52668773,0.31106185,35.93760166,0.64413614
13,19.86493037,0.44119398,32.25712364,0.67240054,20.00985241,0.40439342,33.30270144,0.64300944,21.44887390,0.35400476,34.68155051,0.59952370,22.39247396,0.29349722,36.26280369,0.55854508,20.42134276,0.41536139,32.99313119,0.64673096,20.74571160,0.29837958,36.14521667,0.63547686
14,20.23796797,0.43870992,32.22624223,0.67046893,20.73579253,0.37004710,34.14123262,0.62223937,21.58169010,0.35798524,34.46585003,0.60290133,22.16162692,0.30091567,35.94636202,0.56651278,20.73910671,0.41603096,32.87089490,0.64672942,21.56324898,0.25292549,37.17980582,0.62026038
15,20.91313912,0.41928057,33.13341795,0.65403739,21.57328343,0.33499669,35.45719130,0.60309593,21.76270131,0.35373063,34.95316398,0.59900149,22.73348487,0.28852352,36.65104010,0.55859333,21.57902299,0.38894738,33.98741509,0.62570251,22.59022918,0.19503642,39.01041257,0.60452041
16,21.12227927,0.41268179,33.01766830,0.64764395,22.17851672,0.30169711,36.00309937,0.58770138,21.77311112,0.35630273,34.56594659,0.60144800,22.70779801,0.28929880,36.31369598,0.55883025,21.57532999,0.39499307,33.50884740,0.63095777,23.51727025,0.12426551,40.31848441,0.58711407
17,21.48135396,0.40338058,33.03708563,0.64050202,23.07445006,0.26284845,36.72325184,0.57125619,21.95107947,0.35228238,34.42266793,0.59887267,22.67635443,0.28346199,36.20351506,0.55478906,21.76292186,0.39333409,33.31332281,0.62956420,24.68441177,0.04784060,41.73664812,0.57084490
18,21.59219363,0.39526152,33.46731688,0.63406043,23.78571635,0.24491336,37.39745696,0.55771573,22.17412244,0.34476373,34.83635281,0.59280622,22.53041717,0.29264183,36.19246801,0.56134724,21.86294577,0.38617134,33.71686398,0.62385575,25.39200780,0.02477654,42.50066722,0.55876481
19,21.72835364,0.38886101,33.90895483,0.62943846,23.56668614,0.25658274,37.39949519,0.55495679,22.33019526,0.34352666,35.14377418,0.59136592,22.43814198,0.29224989,36.48485029,0.56111376,22.08341392,0.37568483,34.27162828,0.61515953,24.99762569,0.07644498,41.68509611,0.55658699
20,21.91533300,0.38294285,34.01722087,0.62401158,23.86233396,0.25443650,37.39236924,0.55706407,22.26433882,0.34742808,34.98215717,0.59472115,22.56951826,0.27979865,36.74750794,0.55026144,22.08995038,0.37450518,34.24817397,0.61441615,25.41520741,0.06104384,41.96269023,0.55773242
21,21.93798072,0.38691391,33.81738048,0.62729227,23.69454390,0.26537910,37.01832115,0.56988223,22.09052549,0.35221560,34.76088431,0.59884123,23.09475595,0.26567547,37.00397548,0.53974313,22.13562388,0.37656149,34.10097016,0.61645835,25.34442102,0.06885626,41.67671138,0.57227869
22,22.42205707,0.37518144,34.51344360,0.61706855,23.80276980,0.29355682,36.69893103,0.58667249,22.65760633,0.33710309,35.54842748,0.58625776,23.68798600,0.24910119,37.82466911,0.52704605,22.80511856,0.36719943,34.73314793,0.60793619,25.24404754,0.12103326,40.93558641,0.59334674
23,22.09969390,0.38524440,33.90326914,0.62480069,24.04573021,0.26757594,37.00625030,0.57160843,22.38457108,0.34086354,35.10365444,0.58909444,23.68095709,0.24268069,37.61195460,0.52440361,22.48549040,0.37301495,34.23832569,0.61256868,25.48931918,0.11072822,40.77660252,0.58388043
24,21.89760713,0.38738709,33.61231206,0.62615070,24.47322588,0.21615844,38.02094785,0.54019746,22.13123480,0.34786714,34.67752604,0.59418748,23.04080348,0.26952320,36.69805006,0.54631351,21.97918663,0.38439566,33.69437130,0.62167283,26.03408188,0.04413197,41.98631543,0.55067073
25,21.89121020,0.37853068,34.01074029,0.61922139,24.86815980,0.19832354,38.62864781,0.52317926,22.09901914,0.34426713,34.93390860,0.59106311,23.21237851,0.27235164,36.79095789,0.54815882,22.26569884,0.36935656,34.26081852,0.60909309,26.33929757,0.02959966,42.49965567,0.53168792
26,22.11441189,0.37009131,34.52568334,0.61282127,25.03018800,0.18138984,39.35926438,0.51054652,22.42425122,0.33736290,35.40962752,0.58503237,23.24183112,0.27237176,37.10173857,0.54496830,22.43657565,0.36299381,34.72002319,0.60402818,26.42213226,0.01846777,43.09835455,0.51992591
27,21.90237389,0.37461649,34.30974218,0.61656073,24.44484572,0.20722986,38.62983708,0.52014265,22.33138190,0.33927907,35.26377387,0.58606483,23.10409150,0.26763922,37.12030142,0.54163994,22.19365503,0.36481479,34.57786517,0.60554950,25.57462727,0.06069879,42.04861310,0.52684768
28,21.88083630,0.37365834,34.24102347,0.61593541,24.67730054,0.20042428,38.68808338,0.50848414,22.48695444,0.33177512,35.36479186,0.58015403,23.31669781,0.25758542,37.26815344,0.53273162,22.17628772,0.36230883,34.55003412,0.60332638,25.68891302,0.06848529,41.75824873,0.51468136
29,22.28590034,0.36475144,34.83887931,0.60906748,25.58104367,0.17450930,39.71490071,0.48772762,22.92974837,0.31376496,36.20842789,0.56580183,23.63974053,0.25574597,37.70164179,0.52819403,22.59465873,0.35139109,35.20348583,0.59419678,26.72641567,0.04235148,42.77602848,0.49313700
