"Step","BATCH_32_Add_type_0data3-r1-test-vit-tiny-all-weekly_Strans-V5_PS-3_Lr-5e-05_LF-weightedmse-wfn_abs_DR-0.25_LN-True-ST_0_3-ON_True_Seed-52_LRS-TrueGSMAP_time_step7ECMWF_time_step7_ReduceLROnPlateau-min-0.5-3VIT_Blocks_2 - loss/train_loss","BATCH_32_Add_type_0data3-r1-test-vit-tiny-all-weekly_Strans-V5_PS-3_Lr-5e-05_LF-weightedmse-wfn_abs_DR-0.25_LN-True-ST_0_3-ON_True_Seed-52_LRS-TrueGSMAP_time_step7ECMWF_time_step7_ReduceLROnPlateau-min-0.5-3VIT_Blocks_2 - loss/train_loss__MIN","BATCH_32_Add_type_0data3-r1-test-vit-tiny-all-weekly_Strans-V5_PS-3_Lr-5e-05_LF-weightedmse-wfn_abs_DR-0.25_LN-True-ST_0_3-ON_True_Seed-52_LRS-TrueGSMAP_time_step7ECMWF_time_step7_ReduceLROnPlateau-min-0.5-3VIT_Blocks_2 - loss/train_loss__MAX"
"0","0.17222590121472703","0.17222590121472703","0.17222590121472703"
"1","0.16012488008508907","0.16012488008508907","0.16012488008508907"
"2","0.15663654463172988","0.15663654463172988","0.15663654463172988"
"3","0.1543899999835111","0.1543899999835111","0.1543899999835111"
"4","0.15285294369055794","0.15285294369055794","0.15285294369055794"
"5","0.15157870252391903","0.15157870252391903","0.15157870252391903"
"6","0.15030202299741835","0.15030202299741835","0.15030202299741835"
"7","0.14816396582935903","0.14816396582935903","0.14816396582935903"
"8","0.14736592837063403","0.14736592837063403","0.14736592837063403"
"9","0.14680208182925808","0.14680208182925808","0.14680208182925808"
"10","0.1461338380769152","0.1461338380769152","0.1461338380769152"
"11","0.14549814949518647","0.14549814949518647","0.14549814949518647"
"12","0.1448630990235713","0.1448630990235713","0.1448630990235713"
"13","0.14428205758268978","0.14428205758268978","0.14428205758268978"
"14","0.14292266776078733","0.14292266776078733","0.14292266776078733"
"15","0.14231575606390834","0.14231575606390834","0.14231575606390834"
"16","0.14203981834881266","0.14203981834881266","0.14203981834881266"
"17","0.1416451232218794","0.1416451232218794","0.1416451232218794"
"18","0.1413144040049921","0.1413144040049921","0.1413144040049921"
"19","0.14056793227149494","0.14056793227149494","0.14056793227149494"
"20","0.14016714666424127","0.14016714666424127","0.14016714666424127"
"21","0.14001186817948674","0.14001186817948674","0.14001186817948674"
"22","0.1398005381740373","0.1398005381740373","0.1398005381740373"
"23","0.13940377256608216","0.13940377256608216","0.13940377256608216"
"24","0.13933047452170788","0.13933047452170788","0.13933047452170788"
