Prediction,Groundtruth,station,lead_time,year,month,day
"[61.76633 61.76633 61.76633 61.76633 61.76633 61.76633 61.76633 61.76633
 61.76633 61.76633 61.76633 61.76633]",[ 39.9   103.417  22.583],355.0,7,2018,6,2
"[95.84171 95.84171 95.84171 95.84171 95.84171 95.84171 95.84171 95.84171
 95.84171 95.84171 95.84171 95.84171]",[ 43.1   103.417  22.583],355.0,8,2018,6,2
"[120.628365 120.628365 120.628365 120.628365 120.628365 120.628365
 120.628365 120.628365 120.628365 120.628365 120.628365 120.628365]",[ 49.3   103.417  22.583],355.0,9,2018,6,2
"[119.20125 119.20125 119.20125 119.20125 119.20125 119.20125 119.20125
 119.20125 119.20125 119.20125 119.20125 119.20125]",[ 43.5   103.417  22.583],355.0,10,2018,6,2
"[135.65057 135.65057 135.65057 135.65057 135.65057 135.65057 135.65057
 135.65057 135.65057 135.65057 135.65057 135.65057]",[ 43.8   103.417  22.583],355.0,11,2018,6,2
"[145.91576 145.91576 145.91576 145.91576 145.91576 145.91576 145.91576
 145.91576 145.91576 145.91576 145.91576 145.91576]",[ 44.5   103.417  22.583],355.0,12,2018,6,2
"[164.0676 164.0676 164.0676 164.0676 164.0676 164.0676 164.0676 164.0676
 164.0676 164.0676 164.0676 164.0676]",[ 44.5   103.417  22.583],355.0,13,2018,6,2
"[164.36801 164.36801 164.36801 164.36801 164.36801 164.36801 164.36801
 164.36801 164.36801 164.36801 164.36801 164.36801]",[ 40.7   103.417  22.583],355.0,14,2018,6,2
"[123.83309 123.83309 123.83309 123.83309 123.83309 123.83309 123.83309
 123.83309 123.83309 123.83309 123.83309 123.83309]",[ 42.9   103.417  22.583],355.0,15,2018,6,2
"[93.66348 93.66348 93.66348 93.66348 93.66348 93.66348 93.66348 93.66348
 93.66348 93.66348 93.66348 93.66348]",[ 39.1   103.417  22.583],355.0,16,2018,6,2
"[86.57801 86.57801 86.57801 86.57801 86.57801 86.57801 86.57801 86.57801
 86.57801 86.57801 86.57801 86.57801]",[ 79.9   103.417  22.583],355.0,17,2018,6,2
"[69.85329 69.85329 69.85329 69.85329 69.85329 69.85329 69.85329 69.85329
 69.85329 69.85329 69.85329 69.85329]",[ 80.4   103.417  22.583],355.0,18,2018,6,2
"[68.07565 68.07565 68.07565 68.07565 68.07565 68.07565 68.07565 68.07565
 68.07565 68.07565 68.07565 68.07565]",[ 81.9   103.417  22.583],355.0,19,2018,6,2
"[43.614483 43.614483 43.614483 43.614483 43.614483 43.614483 43.614483
 43.614483 43.614483 43.614483 43.614483 43.614483]",[ 82.1   103.417  22.583],355.0,20,2018,6,2
"[30.019382 30.019382 30.019382 30.019382 30.019382 30.019382 30.019382
 30.019382 30.019382 30.019382 30.019382 30.019382]",[ 58.    103.417  22.583],355.0,21,2018,6,2
"[33.399384 33.399384 33.399384 33.399384 33.399384 33.399384 33.399384
 33.399384 33.399384 33.399384 33.399384 33.399384]",[112.1   103.417  22.583],355.0,22,2018,6,2
"[44.741154 44.741154 44.741154 44.741154 44.741154 44.741154 44.741154
 44.741154 44.741154 44.741154 44.741154 44.741154]",[135.7   103.417  22.583],355.0,23,2018,6,2
"[60.514473 60.514473 60.514473 60.514473 60.514473 60.514473 60.514473
 60.514473 60.514473 60.514473 60.514473 60.514473]",[109.9   103.417  22.583],355.0,24,2018,6,2
"[72.68246 72.68246 72.68246 72.68246 72.68246 72.68246 72.68246 72.68246
 72.68246 72.68246 72.68246 72.68246]",[114.7   103.417  22.583],355.0,25,2018,6,2
"[76.91371 76.91371 76.91371 76.91371 76.91371 76.91371 76.91371 76.91371
 76.91371 76.91371 76.91371 76.91371]",[115.    103.417  22.583],355.0,26,2018,6,2
"[93.36304 93.36304 93.36304 93.36304 93.36304 93.36304 93.36304 93.36304
 93.36304 93.36304 93.36304 93.36304]",[115.4   103.417  22.583],355.0,27,2018,6,2
"[114.54436 114.54436 114.54436 114.54436 114.54436 114.54436 114.54436
 114.54436 114.54436 114.54436 114.54436 114.54436]",[112.4   103.417  22.583],355.0,28,2018,6,2
"[116.22185 116.22185 116.22185 116.22185 116.22185 116.22185 116.22185
 116.22185 116.22185 116.22185 116.22185 116.22185]",[ 53.3   103.417  22.583],355.0,29,2018,6,2
"[121.35443 121.35443 121.35443 121.35443 121.35443 121.35443 121.35443
 121.35443 121.35443 121.35443 121.35443 121.35443]",[ 26.1   103.417  22.583],355.0,30,2018,6,2
